Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T20:22:01.358,2,0.0024486425767270693,3.081670569837051,FoVP,0.16234129836396347,0.7248944717745328,2457597.3455581274
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-27T22:08:35.611,3,0.0024010093550536505,3.0764604318182083,FoVF,0.16588178662740793,0.7249305255718157,2457597.4195706914
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T02:22:15.733,2,0.002391968504679075,3.0640580527793175,FoVP,0.17432777634488222,0.7249423130042384,2457597.5957414494
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T04:08:49.985,3,0.0024323280144230033,3.058847575269989,FoVF,0.17788344036041448,0.724916102015573,2457597.669754032
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T08:22:30.113,2,0.0026345009197534094,3.046446167753184,FoVP,0.18636289987487514,0.7247793795003656,2457597.8459249088
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T10:09:04.371,3,0.002764329210817298,3.0412368621777817,FoVF,0.1899314997313748,0.7246906732262365,2457597.9199375724
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T14:22:44.517,2,0.003181183779839112,3.0288401122270505,FoVP,0.19843904058849557,0.7244050230103958,2457598.0961087164
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T16:09:18.786,3,0.0034019178732009876,3.0236335639869374,FoVF,0.20201829092939788,0.7242537020485526,2457598.170121524
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T20:22:58.964,1,0.004036824717549616,3.0112453318580044,FoVP,0.2105484294938558,0.7238189768308214,2457598.346293086
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-28T22:09:33.248,2,0.004349858903315388,3.006043198698712,FoVF,0.21413601060055207,0.7236050378553299,2457598.4203061014
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-07-29T04:09:47.778,1,0.005612764589441238,2.9884715247663682,FoVF,0.22627676495516516,0.7227449326322577,2457598.6704915203
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-09-10T07:53:21.077,3,2.5697815122738374E-4,-2.4290032247557622,FoVP,-0.7192512483154985,0.7205751339300248,2457641.8294886546
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-10-17T19:13:04.480,2,0.0019670414371021298,2.3267191540506578,FoVP,0.4528101981918288,0.7141797978884794,2457679.304956016
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-10-17T20:59:38.636,2,0.0049775136690584825,2.3312166991054286,FoVF,0.44890664506950456,0.7158274316724391,2457679.378968362
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-10-28T09:06:29.801,3,0.003469437222110181,3.065978956067008,FoVF,-0.180726009925592,0.712925193808823,2457689.884508299
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2016-10-28T13:20:09.807,5,-0.002756221733663789,3.0773433937782557,FoVP,-0.18931149002963266,0.7086098902236475,2457690.060677803
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-01-28T21:19:07.703,5,-0.0022362656409328804,-0.26838445629601826,FoVP,0.29847350987287763,0.6975925921145726,2457782.3930357434
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-01-28T23:05:41.920,4,0.0011818264198154163,-0.2640267638820214,FoVF,0.2953490008385252,0.6997892657822943,2457782.4670374626
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-02-12T04:47:43.319,4,-2.97168219826661E-4,0.7062620273648472,FoVP,-0.5481689981488462,0.7034066986201087,2457796.7034035507
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-02-12T06:34:17.557,7,-0.0044351025601507554,0.709904993482966,FoVF,-0.5513672776360866,0.7016248404356326,2457796.7774044797
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-03-18T10:12:07.737,6,-0.004262440417520913,-0.891777649505845,FoVP,0.697256372367284,0.7091677863936382,2457830.925425397
HD 33632,1.3669889772966024,0.6516590165506833,05:13:17.448,+37:20:14.321,2017-03-18T11:58:41.940,4,0.0010442329234670706,-0.8928944307050657,FoVF,0.6977166434167678,0.7085186421825921,2457830.9994251765
